Precinct,Address,DateTime,BlotterWeek,CrimeType,PoliceSaid,Arrest,Latitude,Longitude,JSDate
10,"355 West 16 Street, New York NY ",2/28/2015,3/13/2015,,"At the Dream Hotel, a woman stepped away from her purse and then found it was gone, NYPD said. The Henry Beglan purse contained $300 Fendi makeup and an Hermes wallet.",,40.742088,-74.003623,"2015,03,13"
10,"355 West 16 Street , New York, NY",2/28/2015,3/13/2015,,"At around 9:30 p.m. at the Dream Hotel, a security guard pushed a 27-year-old woman to the ground and grabbed her wrists, causing bruises to wrist and knee, according to NYPD.",,40.742088,-74.003623,"2015,03,13"
10,"454 West 35th street, New York, NY",2/28/2015,3/13/2015,,A 59 year-old woman was slugged while trying to break up a fight between her two roommates at around 8 p.m. She was punched in the neck and chest area and sustained bruising and swelling. ,,40.754864,-73.998176,"2015,03,13"
10,"512 west 42nd st, New York, NY",2/28/2015,3/13/2015,,"At approximately 11:00 p.m. at the XL nightclub, a 48-year-old man said nightclub staff gave someone else his $350 G-star Raw jacket, along with a $125 Oakley hoodie and black Ray-Bans, police said.",,40.759821,-73.996609,"2015,03,13"
10,"401 West 42nd Street, New York, NY",3/1/2015,3/13/2015,,"A 42-year-old woman was working her security job in the ATM area of Citbank when a man walked in and mumbled something to her. He then used the ATM, according to police, and then turned to her and called her “a n——-.” She told him not to say that and he repeated it several times as he approached her, police said. She put her hand up to stop him from getting too close, NYPD said. He then punched her in the face, causing injury. She moved away from him and he continued to follow her around the ATM, calling her “b-----” and “n----.” He then said, “I’ll sue you,” according to authorities. He then left the bank and walked southbound on ninth avenue. The victim had a swollen left cheek and in pain. 

Police are looking for the man, described as 40 years old, 6’0’’, and 180 lbs, with short, blonde close cut hair. He was wearing a tan top coat and brown shoes. ",,40.758817,-73.992645,"2015,03,13"
10,"419 West 26th Street, New York, NY",3/1/2015,3/13/2015,,"An intoxicated man walked into an NYPD precinct after being slashed with a box cutter while trying to buy marijuana. The 34-year-old man told police he went to purchase marijuana from a man nicknamed “Africa,” his usual dealer, at 3:15 Sunday afternoon in Chelsea. A dispute broke out during the transaction and the unknown perpetrator slashed the victim across the right cheek with a box cutter, authorities said. The victim was intoxicated and unsure of the exact address, police said. He was taken to Lenox Hill Healthplex. “Africa” is described as 5’9’’ and 35 years old, with close cut hair. ",,40.748642,-74.0005,"2015,03,13"
10,"272 West 29th Street, New York, NY",3/1/2015,3/13/2015,,"An 18-year-old male said he was checking bags into his room and forgot two outside the door. When he came back they were gone. The bags contained retro Air Jordans, black and red, worth $200, according to authorities. ",,40.748944,-73.995527,"2015,03,13"
10,"427 10th Ave. New York, NY",3/1/2015,3/13/2015,,"A ""devil's claw double ring,"" a $485 bone bracelet and more than $5000 worth of other jewelry were lifted off a man who nodded off at a West Side McDonald's. ",,40.75431,-73.999684,"2015,03,13"
10,428 West 26th Street,3/5/2015,3/13/2015,,"At 10:15 a.m, a man conducting building maintenance at the Chelsea-Elliot houses opened the door for the 22-year-old victim. When she did not say thank you, he got upset and began screaming and cursing at the victim, telling her, “Suck my dick."" When she argued back, the perpetrator, described as 5’6’’ and 190 pounds with a “Caesar” haircut, began beating her up, punching her multiple times in the face with a closed fist. 
When she tried to push him off her, the man dropped her to the ground, kicking her.",,40.748838,-74.00142,"2015,03,13"
10,"23rd Street and 7th Avenue, New York",3/5/2015,3/13/2015,,"A 52-year-old man at the 23rd Street and 7th Avenue subway station was assisting another passenger and left his red backpack behind on the northbound platform. When he returned to the station, his bag was missing, along with his $250 Playstation Portable and seven prescription medicines.",,40.744096,-73.995665,"2015,03,13"
10,527 West 29th Street,3/6/2015,3/13/2015,,"An art gallery reported graffiti on its front door, NYPD said. The owner of the David Nolan Gallery at called police when he got to work and saw it at 1:25 p.m.",,40.752277,-74.002686,"2015,03,13"
10,401 West 14th Street,3/7/2015,3/13/2015,,"A 25-year-old man was arrested for switching out a real iPhone for a fake at the Chelsea Apple Store at 7:30 p.m, according to police. ",,40.741223,-74.005504,"2015,03,13"
10,"169 8th Avenue, New York",3/10/2015,3/13/2015,,"A ""random individual walking"" past Cooper's Craft and Kitchen at kicked in the bar's window at around 3:40 p.m. The suspect, who has yet to be arrested, is described as 35 years of age, 5'10'' and 140 pounds, partially bald with black hair and light skin. The bar Pounds and Ounces had a similiar experience with the perpetrator.",,40.742705,-74.000776,"2015,03,13"
10,"114 10th Avenue, New York, NY",3/12/2015,3/13/2015,,"Two men in red jackets took a Pepsi fountain that had been place outside of Artichoke Pizza on the sidewalk, loaded it into a white van and drove away. An employee at the pizzeria said he thought they were Pepsi employees from their red jackets.",,40.744059,-74.006585,"2015,03,13"
10,"West 16th Street and Tenth Avenue, New York, NY",3/16/2015,3/27/2015,,A woman stole another woman’s taxi and pulled her hair when she protested at 7:45 on a Monday morning.,,40.743465,-74.007255,"2015,03,27"
10,"West 23rd Street and Eighth Avenue, New York, NY",3/18/2015,3/27/2015,,A man threw his dog’s diaper containing pee and poop in a woman’s face.,,40.745295,-73.998486,"2015,03,27"
10,"W 38th St & 12th Ave, NY, NY",3/20/2015,3/27/2015,,Suspected marijuana was found in a towed gray Dodge with California plates.,,40.642504,-73.987911,"2015,03,27"
10,"525 West 29 St, New York, NY",3/21/2015,3/27/2015,,The partial owner of West 29th Street lounge Leonora tried to remove the club’s burglar alarm by pulling it off the wall and cutting the wires surrounding it,,40.752223,-74.002619,"2015,03,27"
10,"202 8 ave, New York, NY",3/21/2015,3/27/2015,,A gray 2014 Jeep Grand Cherokee was stolen after a man parked the vehicle with the keys in the ignition.,,40.743507,-73.999427,"2015,03,27"
10,"227 West 17th St., New York, NY",3/25/2015,3/27/2015,,"A factory warehouse at 227 West 17th St. reported that $22,500 worth of silver and gold stolen on February 25, police said. ",,40.741113,-73.999429,"2015,03,27"
10,"355 West 14th Street, New York NY",3/27/2015,4/2/2015,,"While workers were recieving deliveries and doing maintenance work at Scarpetta, the Meatpacking joint run by celebrity chef Scott Conant, the man stole $367 worth of bottles from the bar at 355 W. 14th St. He went for Grey Goose, Stoli Elite, Chopin and Belvedere vodkas valued at between $43 and $65 a bottle, along with WhistlePig Rye that costs $59. ",,40.740893,-74.004815,"2015,04,02"
10,"514 W 39th St., New York, NY",3/28/2015,4/2/2015,,"A man dropped his Acura SUV off for repair at NYC Tire and Auto Care. When he went to retrieve it at the shop at 514 W 39th St. on March 28, he found it was not there, according to authorites. The manager of the business said the gray 2009 Acura RDX was on a ramp there the night before, NYPD said. But at around 9 p.m. on March 24, the vehicle traveled outbound on the Henry Hudson Parkway, and traveled back inbound the next day, police said. On March 28th at 1:37 a.m. it traveled outbound to New Jersey on the George Washington Bridge, and was later summonsed for blocking a driveway at 8 E. 177 St. in the Bronx, according to authorities. The car was then towed to All Boro Towing, where he retrieved it, police said.",,40.758074,-73.997664,"2015,04,02"
10,"400 West 17th st, New York NY",3/27/2015,4/2/2015,,"A taxi passenger stole a $400 Samsung Galaxy tablet from a cab driver, NYPD said.The cabbie dropped off two other passengers and then brought the perpetrator to 400 W. 17th St. on March 27 at 7:00 p.m. , police said. When they pulled up, the third passenger, who was sitting in the front seat, grabbed the driver's tablet, jumped out of the cab and ran toward 9th Avenue. ",,40.742893,-74.004359,"2015,04,02"
10,"450 west 24 st., New York, NY",3/26/2015,4/2/2015,,"A woman reported $20,000 worth of cash and jewelry missing from a safe she left open in her home, police said. The 43-year-old woman was in and out of her residence attending business meetings the week of March 19, police said, and when she returned home March 26 found $14,000 in hundred dollar bills missing from her West 24th Street home, along with two Chanel necklaces and a bracelet. ",,40.747725,-74.002658,"2015,04,02"
10,"355 8 Ave, New York, NY",3/28/2015,4/2/2015,,A 21-year-old man was arrested for criminal sale of a controlled substance after he was found with cocaine in a stairwell at Penn South with a woman who at first claimed to be his aunt. A 37-year-old woman was also arrested for the transaction involving $20 of cocaine.,,40.74817,-73.996414,"2015,04,02"
10,"Chelsea Piers, New York",4/18/2015,4/23/2015,,Two men were seen sneaking onto a yacht at docked at West 20th Street and making off with three TVs and a Blue-Ray player.,,40.748056,-74.008514,"2015,04,23"
10,9th Avenue and West 26th Street,4/19/2015,4/23/2015,,A 52-year-old man was assaulted on a street corner by three men. He was taken to Bellevue Hospital with scratches and an arm injury.,,40.748406,-74.000225,"2015,04,23"
10,260 W. 23rd St.,4/18/2015,4/23/2015,,A woman's cream-colored MYB Cycletech was stolen while she was at a restaurant.,,40.74483,-73.998039,"2015,04,23"
13,240 E. 1st Ave.,"Feb. 23, 9:26 p.m.",3/3/2015,,"A man was found sitting in a hallway of an apartment building after being ""kicked out"" of Stuyvesant Town and being warned not to return.",,40.731502,-73.981837,"2015,03,03"
13,Union Square East and East 14th Street,"Feb. 25, 11:25 a.m. ",3/3/2015,,"A man parked his car in a ""police only"" parking spot with an NYPD handbook displayed on the dashboard. He identified himself as an NYPD traffic agent even though he wasn't.",,40.734795,-73.990778,"2015,03,03"
13,832 6th Ave.,"Feb. 26, 1:10 p.m.",3/3/2015,,"A woman displayed counterfeit Cartier jewelry for sale, including 33 rings, 60 earrings, 23 necklaces and 13 bracelets.",,40.746557,-73.990113,"2015,03,03"
13,30 E. 16th St.,"March 1, 6:27 p.m.",3/3/2015,,"A man went to a woman's workplace, started arguing with her about her work attire, saying it was too salacious. Then, when the woman walked away, he snatched her phone out of her back pocket and fled.",,40.736646,-73.991336,"2015,03,03"
13,336 E. 23rd St.,"March 11, 8:15 p.m.",3/17/2015,,"A man punched another man in the face inside of a McDonald's, causing swelling on victim's cheek. He was charged with assault.",,40.737024,-73.979477,"2015,03,17"
13,281 Avenue C,"March 14, 11:08 p.m.",3/17/2015,,Three teens and one man were caught trespassing into a Stuy Town building. They followed a resident into the building and then took the elevator to the roof. They were charged with criminal trespass.,,40.730316,-73.975711,"2015,03,17"
13,38 W. 26th St.,"March 27, 12:34 a.m.",3/31/2015,,"A man tried to fight with a bouncer of a bar, and then repeatedly hit the victim's windshield with his bag, causing the grass to crack.",,40.74426,-73.990744,"2015,03,31"
13,379 3rd Ave.,"March 29, 8:32 p.m.",3/31/2015,,"A man refused to step aside to let another man through a door, and after the victim identifies himself as a police officer, the man punches the victim and pushes him into glass partition causing the glass to shatter. He was charged with assault, a felony.",,40.741425,-73.9809,"2015,03,31"
13,5th Avenue and East 21st St.,"March 23, 2:01 a.m.",3/31/2015,,"A man punches a person in the head, causing pain, swelling to the victim's head.",,40.740252,-73.990527,"2015,03,31"
13,Union Square East and 14th Street,"March 24, 3 p.m.",3/31/2015,,A man entered the subway tracks near the Bowery subway station. He ended up surrendering to police at Union Square. He was charged with reckless endangerment and criminal trespass.,,40.734795,-73.990778,"2015,03,31"
13,Union Square East and 14th Street,"March 24, 6:15 p.m.",3/31/2015,,A woman was caught on camera walking along the tracks near Bowery subway station. She was charged with reckless endangerment and criminal trespass.,,40.734795,-73.990778,"2015,03,31"
13,707 6th Ave.,"March 24, 8:56 p.m.",3/31/2015,,A man tried to walk out of Burlington Coat Factory with 2 watches he didn't pay for. He was stopped by store security. He was charged with petit larceny and possession of stolen property.,,40.742734,-73.992942,"2015,03,31"
1,591 Broadway,"March 22, 5 p.m.",3/24/2015,,Two women shoplifted 252 pairs of underwear from a Victoria's Secret.,,40.725117,-73.997639,"2015,03,24"
1,80 Greene St.,"March 20, 5 p.m.",3/24/2015,,"Five men and one woman stole $21,815 worth of women's handbags and shoes from the Saint Laurent store.",,40.723445,-74.000337,"2015,03,24"
1,160 Pearl St.,"March 17, 7:20 p.m.",3/24/2015,,"A man's $900 Dell laptop was stolen as he ate at the Full Shilling, an Irish bar and restaurant.",,40.705735,-74.007494,"2015,03,24"
1,158 Mercer St.,"March 20, 1:30 p.m",3/24/2015,,"Two men stole two handbags worth a total of $3,050 from the Vera Wang store.",,40.724982,-73.998079,"2015,03,24"
1,101 Prince St.,"March 21, 5:30 p.m.",3/24/2015,,"Two men grabbed two leather bags, worth a total of $1,112, from the shelves of the Michael Kors store, then walked out.",,40.725006,-73.998864,"2015,03,24"
1,55 Fulton St.,"March 26, 3:50 p.m.",3/31/2015,,A man was attacked by two teens wielding traffic cones.,,40.70868,-74.004572,"2015,03,31"
1,130 Fulton St.,"March 25, 4:00 p.m.",3/31/2015,,A woman had $400 snatched from her hands after getting the money from an ATM.,,40.710305,-74.008087,"2015,03,31"
1,250 Hudson Street,"March 30, 3:40 p.m.",3/31/2015,,"Shoplifters grabbed a pair of $1,725 sneakers from the Rick Owens store",,40.724766,-74.007397,"2015,03,31"
1,402 West Broadway ,"March 28, 11:19 a.m.",3/31/2015,,"A man and woman stole $10,590 worth of clothes from boutique Dsquared2 ",,40.724373,-74.002097,"2015,03,31"
1,375 W. Broadway,"March 15, 3:15 p.m.",3/31/2015,,"A shoplifter swiped nine cardigans worth a total of $1,152 from clothing store Anthropologie",,40.723464,-74.002413,"2015,03,31"
1,1 Broadway,"April 3, 10:30 p.m.",4/7/2015,,A woman cut her ex-boyfriend with scissors on the 5 train at Bowling Green,,40.704969,-74.014595,"2015,04,07"
1,409 West Broadway,"March 28, 12:00 p.m.",4/7/2015,,"A a man swiped a $5, 0990 dress from Herve Leger",,40.724693,-74.001618,"2015,04,07"
1,109 Prince Street,"April 3, 5:00 p.m.",4/7/2015,,"A woman stole a $1,095 pair of Silk Pants from the Ralph Lauren store.",,40.725208,-73.999433,"2015,04,07"
1,88 W. Broadway ,"April 24, 2:50 a.m.",4/24/2015,,A woman's handbag was stolen at knifepoint on the 1 train,,41.006451,-73.879058,"2015,04,24"
1,285 W. Broadway,"April 25 , 2:00 a.m.",4/24/2015,,A woman's handbag was stolen at TriBeCa club Haus,,40.720842,-74.004675,"2015,04,24"
1,249 Pearl St.,"April 22, 1:00 p.m.",4/24/2015,,100 handbags were stolen out of a car parked in a lot.,,40.707596,-74.004943,"2015,04,24"
20,"208 West 82nd St., New York, NY","March 19, 2015, 2:30 p.m.",23-Mar-2015,,"A package containing $1,700 in merchandise was stolen from the residential building's vestibule.",,40.785169,-73.977673,"2015,03,23"
20,"204 West 77th St., New York, NY","March 15, 2015, 11:30 a.m.",23-Mar-2015,,A woman left her purse in a cubby at Pure Yoga and had it stolen. The purse contained $250 and credit cards.,,40.781847,-73.979749,"2015,03,23"
20,"1988 Broadway, New York, NY","March 11, 2015 at 10 p.m.",23-Mar-2015,,A 44-year-old man was arrested for stealing 38 t-shirts from the Gap.,,40.774826,-73.981713,"2015,03,23"
20,"2124 Broadway, New York, NY","March 5, 2015, 11 p.m.",23-Mar-2015,,"A woman had her wallet which held cash, credit cards and debit cards taken from a counter where she left it inside the building.",,40.780456,-73.981043,"2015,03,23"
20,"145 West 84th St., New York, NY","March 4, 2015, 12:30 p.m.",23-Mar-2015,,A teacher working at the Brandeis High School complex reported her wallet missing.,,40.785992,-73.974372,"2015,03,23"
20,"253 West 72nd St., New York, NY","March 4, 2015, 6:30 p.m.",23-Mar-2015,,A man stole 179 bottles of Essie nail polish from Duane Reade.,,40.779771,-73.983628,"2015,03,23"
20,"44 W 63rd St, New York, NY 10023","March 28, 2015 3 a.m",3-Apr-2015,,"A 33-year-old woman left her bag unattended at the Empire Hotel Rooftop Bar and had the bag, including her credit cards and Blackberry stolen. ",,40.771488,-73.982719,"2015,04,03"
20,"2255 Broadway, New York, NY 10024","March 25, 2015 4 p.m.",3-Apr-2015,,"The owner of Bari Lynn Accessories had her $7,200 Chanel watch stolen after she left it on her desk and returned forty-five minutes later to find it gone.",,40.785095,-73.979407,"2015,04,03"
20,"160 Columbus Ave, New York, NY 10023","March 31, 2015 9 a.m.",3-Apr-2015,,"A 38-year-old woman had her purse, which contained her $20,000 engagement ring, stolen at the Equinox gym.",,40.774551,-73.98119,"2015,04,03"
20,"204 W 77th St
New York, NY 10024","March 29, 2015 9:20 a.m.",3-Apr-2015,,Property worth $910 was stolen from a locker in the women's locker room at Pure Yoga on West 77th Street,,40.781889,-73.979777,"2015,04,03"
20,"320 W 73rd St, New York, NY 10023","March 24, 2015 11:30 a.m.",3-Apr-2015,,"Ski equipment worth $2,100, including boots, apparel, a helmet and ski poles, was stolen after a thief broke the window of a car parked along West 73rd Street and lifted the items. ",,40.780855,-73.985169,"2015,04,03"
20,"1889 Broadway, New York, NY 10023","April 19, 2015 at 10:30 p.m.",23-Apr-2015,,"A man stole $4,739 worth of medication from Duane Reade. Police did not identify the type of medication stolen.",,40.771342,-73.982758,"2015,04,23"
20,"2152 Broadway, New York, New York 10023",April 20. 2015 at 2 p.m.,23-Apr-2015,,"A man removed $1,160 worth of women's North Face jackets from Eastern Mountain Sports, but he dropped them outside the store when he realized he was seen. ",,40.781338,-73.980467,"2015,04,23"
20,"44 West 63rd Street, New York, NY 10023","April 19, 2015 at 3 a.m.",23-Apr-2015,,A 29-year-old man was arrested for stealing a woman's wallet at the Empire Hotel's rooftop bar. ,,40.771496,-73.982692,"2015,04,23"
20,"80 Riverside Drive, New York, NY 10024","April 18, 2015 at 3 p.m. ",23-Apr-2015,,"A 31-year-old woman locked up two bikes worth $1,650 and when she returned 20 minutes later they were gone. ",,40.785601,-73.981715,"2015,04,23"
20,"200 West 72nd Street, New York, NY 10023","April 15, 2015 at 11 p.m.",23-Apr-2015,,A 25-year-old woman returned to her apartment to find that her wallet was missing from her purse and that charges had been made on her Bank of American credit card. ,,40.7787,-73.982577,"2015,04,23"
20,"378 Amsterdam Avenue, New York,NY 10024","April 12, 2015 at 5:30 p.m.",23-Apr-2015,,"A person stole a gold pill box worth $3,700 from the display case of More and More Antiques. Police did not have any further description of the suspect.",,40.782421,-73.979104,"2015,04,23"
25,"1960 Park Avenue, 10037","March 17, 3:55 p.m.",16-Mar-2015,Assault,Police arrested 17-year-old man shot an innocent bystander in the nose. The teenager fired several shots while chasing another man. The victim's injuries were not life-threatening.,,40.809969,-73.936043,"2015,03,16"
25,"2326 Second Avenue, 10035","March 18, 9:05 p.m.",16-Mar-2015,Robbery,Police arrested a 22-year-old man who robbed a 40-year-old man who was counting his money on the street. The robber threatened to hurt the victim's familiy.,,40.799062,-73.935905,"2015,03,16"
25,"600 East 125th Street, 10035","March 18, 11:10 p.m.",16-Mar-2015,Drunken Driving,"Police arrested a 29-year-old passenger of a livery cab who drove onto the Triboro Bridge when the cabbie exited the vehicle to pay for the toll. The man, who appeared to be drunk, got into a three-car crash on the bridge.",,40.789983,-73.928808,"2015,03,16"
25,"242 East 116th Street, 10029","March 19, 11 a.m.",16-Mar-2015,Robbery,"An 83-year-old woman went to the pharmacy and noticed $5,500 worth of jewelry missing from her apartment when she returned. There were no signed of forced entry.",,40.797001,-73.938525,"2015,03,16"
25,"58 East 117th Street, 10035","March 18, 1:25 a.m.",16-Mar-2015,Homicide,Police arrested a 22-year-old man stabbed a 26-year old man to death. The two men were at a house party and got into an argument about the noise level.,,40.800319,-73.943768,"2015,03,16"
25,"159 East 116th Street, 10029","March 11, 1:30 a.m.",9-Mar-2015,Attempted Robbery,A man armed with a sharpened screwdriver tried to rob a Dunkin Donuts. An employee used a baseball bat to scare off the suspect and prevent the robbery.,,40.798641,-73.940919,"2015,03,09"
25,"125th Street and Third Avenue, 10035","March 28, 7:33 p.m.",23-Mar-2015,Assault,Police arrested a 32-year-old man for spitting at an MTA bus driver's face.,,40.803705,-73.935805,"2015,03,23"
25,"127th Street and Madison Avenue, 10035","March 28, 4:55 a.m.",23-Mar-2015,Robbery,"Four people stole a cab driver's wallet. The group boarded the yellow cab at 125th and Park. The driver had $300, his driver's license and social secutiry card in the wallet.",,40.807043,-73.939685,"2015,03,23"
25,"225 East 125th Street, 10035","March 24, 2:12 p.m.",23-Mar-2015,Attempted Robbery,Police arrested a 43-year-old man trying to break into a car. The man is suspected of breaking into at least two other cars in the same location.,,40.803089,-73.93374,"2015,03,23"
25,"319 East 117th Street, 10035","March 22, 9:00 p.m.",16-Mar-2015,Robbery,A man was held at knife point and beat up by three men during a robbery. The men took the 23-year-old's victim's two phones.,,40.797318,-73.935941,"2015,03,16"
25,"441 East 116th St., 10029","March 30, 6:50 p.m.",30-Mar-2015,Robbery,A 21-year-old man stole $300 of his mother's tax return after the two got into an argument about missing money.,,40.795586,-73.933682,"2015,03,30"
25,"101 East 116th St., 10029","April 2, 1:45 p.m.",30-Mar-2015,Burglary,"A $5,500 battery and $900 worth of copper wire were stolen from a Sprint Cell site. The items were kept in a padlocked box. Officers found the lock cut open.",,40.799397,-73.942692,"2015,03,30"
25,"125th Street and Second Avenue, 10035","April 2, 9:49 a.m.",30-Mar-2015,Robbery,"Someone stole a 69-year-old's bike while he was getting a cup of coffee. The male victim locked his $5,900 bike and left it outside for 30 minutes. When he came out the bike was missing.",,40.802757,-73.933553,"2015,03,30"
25,"125th Street and Madison Avenue, 10035","April 5, 12 a.m.",30-Mar-2015,Assault,A couple going on a date at Applebee's was mugged by two men. Police driving by saw one of the suspects pull out a knife and try to stab one of the victims. Police arrested two suspects.,,40.805747,-73.94064,"2015,03,30"
25,"22 East 119th St., 10035",4/1/2015,30-Mar-2015,Burglary,"A man who had been in jail for more than 6 months found his TV and DVD player missing when he returned home. He also noticed $1,800 missing from his bank account.",,40.802047,-73.944038,"2015,03,30"
25,"1900 Lexington Ave., 10035","March 31, 10 p.m.",30-Mar-2015,Assault,Police arrested a 24-year-old man for preventing the mother of a 5-yea-old toddler to leave the house. Officers visited the house for a wellfare check but the man refused to let them in. He slammed the door and injured an officer's arm.,,40.800306,-73.940741,"2015,03,30"
25,"600 East 125th Street, 10035","April 6, 6 a.m.",6-Apr-2015,Robbery,"A man stole $7,000 of tools from a Parks Department truck at Randall's Island.",,40.789983,-73.928808,"2015,04,06"
25,"22 east 119th St., 10035",4/8/2015,6-Apr-2015,Robbery,A man who had been hospitalized for four months returned to his apartment to find his TV and a bottle of cologne stolen. There were no sings of forced entry.,,40.802047,-73.944038,"2015,04,06"
25,"2027 Lexington Ave., 10035","April 11, 8 p.m.",6-Apr-2015,Robbery,Police arrested two men for snatching a pair of headphones form someone else's head.,,40.803496,-73.937864,"2015,04,06"
25,"420 East 119th St., 10035","April 13, 8:20 a.m.",13-Apr-2015,Robbery,"An overnight guest stole thousands of electronic devices including a lap top, tablet and phone. The guest stayed overnight because he missed the train to New Jersey.",,40.797331,-73.933253,"2015,04,13"
25,"20 Paladino Ave., 10035","April 13, 5:45 p.m.",13-Apr-2015,Robbery,"A suspect stole $10,000 in cash and thousands more in designer goods from an apartment building. There were no signs of forced entry.",,40.79996,-73.93127,"2015,04,13"
25,"334 East 126th St., 10035","April 14, 12:13 p.m.",13-Apr-2015,Robbery,Police arrested a 23-year-old man who took a phone from a woman who was driving along Madison Avenue.,,40.802498,-73.931493,"2015,04,13"
